Name,Varietal,Producer,Origin,Processing,Cupping notes,Brewing recipe,package weight,price,Recommend for,Flavor
FINCALA VIRGEN,"H3, Red Catual",Gabriela & Henry Hueck,"Matagalpa, Nicaragua",Fully washed,"Toffee, dark plums, black tea, Milk chocolate, Digestive biscuits",,500g,30,"Espresso, afternoon,evening,anytime","chocolaty, sweet, tea-like, stone fruit, cereal"
BENTI NENKA #1,"74110, 74112",Various smallholder farmers,"Hambela, Guji, Ethiopia","Wet fermented for 48 hours, soaked for 2 hours, dried over 10 days on drying tables","Clementine, White peach, Tencha, orange blossom, Pink grapefruit",,200g,22,"Espresso & Filter, morning","tea-like, citrus fruit, berry, stone fruit"
VILLA BETULIA,Pink typica,Luis anibal,"Huila, Colombia","Whole cherry carbonic maceration, pulped & dried as honey","White chocolate, mangosteen, dark plums, kyoho grape, THE-O Siew dai",,200g,21,"Espresso & Filter, morning,afternoon,anytime","chocolaty, tea-like, berry, stone fruit, tropical fruit"
FINCA LAS MARIAS,Gesha,Gabriela & Henry Hueck,"Nueva segovia, nicaragua","48 hour Anaerobic fermentation, dried natural","Mandarin oranges,cherry compote, strawberry candy, rock sugar, black tea",,200g,21,"Espresso & Filter, morning","sweet, tea-like, citrus fruit, berry, stone fruit"
FINCA EL CARMEN,Pacamara,the alfaro family,Apaneca-ilamatepec,"Anaerobic fermentation, dried natural","Strawberry coulis, blueberry syrup, whit sugar, cooked peaches, cookie & cream",,200g,21,"Espresso & Filter,afternoon,evening, anytime","sweet, berry, stone fruit"
SITIO VARGEM GRANDE #1,Yello catuai,Rosemeire aparecide guerra,"Minais gerais, brazil","72 hours anaerobic fermentation, dried on patios & drying box","caramel apples, whisked matcha, nougat, dried canberries, light custard",,200g,22,"Espresso & Filter,morning, afternoon","sweet, tea-like, pome fruit"
LOS IDOLOS,"Caturra, castillo",Marleny lasso,"Narino, colombia",Fully washed,"Blood orange, Red apple, Toffee, darjeeling tea",,200g,21,"Espresso & Filter, morning,afternoon,anytime","sweet, tea-like, citrus fruit, pome fruit"
MANANTIALES,Gesha,Andres london,"Valle del cauca, colombia","Whole cherry fermentation, pupled & 2nd fermentation, fully washed","Lychee, mandarins, rose syrup, orange blossom",,120g,25,"filter,morning","sweet, floral, citrus fruit, tropical fruit"
LA CLAUDINA #1,TABI,Juan saldarriaga,"antioquia, colombia","Anaerobic fermentation, dried in machanical dryers","red plums, green kiwi, elderflower, light honey, red currants",,200g,22,"Espresso & Filter,morning, afternoon","sweet, floral, stone fruit, tropical fruit"
LA SALINA ORGANIC,Caturra,Adelmo chinguel alberca,"Jane, peru","pulped, wet fermented, rinsed &dried in parabolic dryers","red apples, brown sugar syrup, pomelo, ceylon tea,cinnamon",,200g,21,"Espresso & Filter, morning,afternoon,anytime","spices, sweet, tea-like, citrus fruit, pome fruit"
SITIO VARGEM GRANDE #5,Yello catuai,Rosemeire aparecide guerra various smallholder farmers,"Minais gerais, brazil","Whole cherry wet fermentation in boxes, dried on patios","blueberry syrup, dark chocolate, cherry liquid",,200g,21,"Espresso & Filter,afternoon,evening, anytime","chocolaty, sweet, berry, stone fruit"
KINGHA COLLECTIVE #2,"SL28, SL34, SL14",Kingsley griffin & various smallholder farmers,"Bwindi, uganda","Whole cherry SEMI-anaerobic fermentation, dried on raised bed","Maraschino cherries, treacle, peach gummy, liqurice, cocoa powder",,200g,21,"Espresso & Filter,afternoon,evening, anytime","chocolaty, sweet, stone fruit, herb-like"
MAHEMBE #3,Red Bourbon,Justin Musabyimana and various smallholder farmers,"Nyamesheke, Rwanda","pulped, dry fermented, soaked & dried on raised beds","Dark cherries, red plums, green apples, dark honey, roselle tea",,200g,21,"Espresso & Filter, morning","sweet, floral, tea-like, stone fruit, pome fruit"
SITIO VARGEM GRANDE #2,Red Catuai,Rosemeire aparecide guerra,"Minais gerais, brazil","Anaerobic fermentation, dried natural","ripe rainer cherries, dried apricots, golden raisins, brown sugar, baked macadamias, milk chocolate",,200g,22,"Espresso & Filter,afternoon,evening, anytime","sweet, floral, citrus fruit, tropical fruit"
LAS MARGARITAS,Red Bourbon,Rigoberto herrera,"Valle del cauca, colombia","pulped, fermented in barrels & dried as honey","grape gummy, rose water, golden syrup, canned peach, milk chocolate",,200g,22,"Espresso & Filter,afternoon,evening, anytime","chocolaty, sweet, floral, berry, stone fruit"
FAZENDA IP,Yello catuai,Luiz paulo dias pereira,"Sul de minas, brazil",Natural,"Baked red apples, honey, macadamia, milk chocolate",,500g,30,"Espresso, afternoon,evening,anytime","chocolaty, sweet, pome fruit"
BENTI NENKA,"Wolisho, Dega",Benti nenka washing station,Mixed heirloom,Fully washed,"fresh strawberry, red grapes, rose syrup, goji",,200g,22,"Espresso & Filter, morning","sweet, floral, berry"
UBUMWE,Red Bourbon,Epiphanie mukashyaka and smallholder farmers,"Karongi, Rwanda","pulped & wet fermebted, rinsed & dried on raised beds","Ripe red dates, ripe japanese orange plums, creamy floral tisane, rock sugar",,200g,21,"Espresso & Filter, morning","sweet, floral, tea-like, citrus fruit, stone fruit, tropical fruit"
FRUTA MADURA,"Castillo, colombia",carlo aurelo caluche,"Narino, colombia","Whole cherry carbonic maceration, pulped & dried in parabolic dryers","cooked apricots, toffee, apple cordial, ceylon tea, green grapes",,200g,21,"Espresso & Filter, morning,afternoon,anytime","sweet, tea-like, berry, stone fruit, pome fruit"
LA CLAUDINA,TABI,Juan saldarriaga,"antioquia, colombia",Extended fermentation natural in dold dryer,"Chrysanthemum Tea, green apple chips, apricot, light honey, eucalyptus",,200g,22,"Espresso & Filter, morning","sweet, tea-like, stone fruit, pome fruit, herb-like"
NOVA,Red Bourbon,Agnes mukamushinja & felix hitayezu with various smallholder farmers,"Gicumbi, rwanda","Pulped, 16hr dry ferment, rinsed &dried on raised beds","Milk tea, red apple, cooked redcurrants, dark plums, hibiscus",,200g,22,"Espresso & Filter,afternoon,evening, anytime","tea-like, berry, stone fruit, pome fruit"
AQUIARES ESTATE,Esperanza,Diego Robelo,"Turrialba, Costa Rica","Pre-drying on Patio for 2-3 days, Dried in Whole Cherries on Raised Beds for up to 2 weeks","Raspberry Candy, Blackcurrants, Rice Wine, White Sugar Syrup, Hawthorne Tea",,200g,22,"Espresso & Filter, morning","sweet, tea-like, berry, alcohol"
RARO,"Wolisho, Dega",Various Smallholder Farmers,"Uraga, Ethiopia","48 hours Whole Cherry Anaerobic Fermentation, Dried on Raised Beds for 15 days","Mango Lassi, Berry Kefir, Pink Guava, Lychee, Elderflower",,200g,21,"Espresso & Filter, morning","floral, tropical fruit, alcohol"
